weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
486,"{'top_left': 69, 'top_right': 72, 'bottom_left': 143, 'bottom_right': 202}","{'top_left': 0.11896551724137931, 'top_right': 0.12413793103448276, 'bottom_left': 0.24655172413793103, 'bottom_right': 0.3482758620689655}","(20.944444444444443, 38.065843621399175)","(0.537037037037037, 0.6678218179192837)","(144.71582922657453, 128.89197530864197)","(0.04301897420528375, 0.08055748456790124)"
497,"{'top_left': 85, 'top_right': 66, 'bottom_left': 180, 'bottom_right': 166}","{'top_left': 0.15977443609022557, 'top_right': 0.12406015037593984, 'bottom_left': 0.3383458646616541, 'bottom_right': 0.31203007518796994}","(17.04225352112676, 35.19718309859155)","(0.46060144651693946, 0.6399487836107555)","(116.83838240711876, 103.86340578683368)","(0.03725713724716797, 0.07192756633437236)"
417,"{'top_left': 60, 'top_right': 61, 'bottom_left': 141, 'bottom_right': 155}","{'top_left': 0.12605042016806722, 'top_right': 0.12815126050420167, 'bottom_left': 0.296218487394958, 'bottom_right': 0.32563025210084034}","(17.01199040767386, 36.666666666666664)","(0.5003526590492312, 0.6666666666666666)","(136.3181454836131, 69.50345335242598)","(0.04346879639145826, 0.0567375129407559)"
248,"{'top_left': 70, 'top_right': 66, 'bottom_left': 56, 'bottom_right': 56}","{'top_left': 0.15625, 'top_right': 0.14732142857142858, 'bottom_left': 0.125, 'bottom_right': 0.125}","(15.266129032258064, 30.346774193548388)","(0.4924557752341311, 0.5517595307917889)","(134.04910249739856, 33.46949791883455)","(0.04274524952085414, 0.032685056561361864)"
372,"{'top_left': 45, 'top_right': 36, 'bottom_left': 154, 'bottom_right': 137}","{'top_left': 0.08458646616541353, 'top_right': 0.06766917293233082, 'bottom_left': 0.2894736842105263, 'bottom_right': 0.2575187969924812}","(17.43010752688172, 38.534946236559136)","(0.4710839872130195, 0.700635386119257)","(122.64662822291595, 120.92791074112615)","(0.03910925644863391, 0.08374509054094609)"
312,"{'top_left': 43, 'top_right': 42, 'bottom_left': 114, 'bottom_right': 113}","{'top_left': 0.09033613445378151, 'top_right': 0.08823529411764706, 'bottom_left': 0.23949579831932774, 'bottom_right': 0.23739495798319327}","(16.701923076923077, 35.88461538461539)","(0.4912330316742081, 0.6524475524475525)","(109.83925049309666, 78.76050912228796)","(0.03502527120315582, 0.0642942931610514)"
569,"{'top_left': 70, 'top_right': 77, 'bottom_left': 211, 'bottom_right': 211}","{'top_left': 0.10416666666666667, 'top_right': 0.11458333333333333, 'bottom_left': 0.31398809523809523, 'bottom_right': 0.31398809523809523}","(24.031634446397188, 36.068541300527244)","(0.5006590509666081, 0.6557916600095862)","(106.24662019205523, 173.900580984121)","(0.03387966205103802, 0.07242839691133736)"
379,"{'top_left': 50, 'top_right': 47, 'bottom_left': 136, 'bottom_right': 146}","{'top_left': 0.10504201680672269, 'top_right': 0.09873949579831932, 'bottom_left': 0.2857142857142857, 'bottom_right': 0.3067226890756303}","(16.989445910290236, 37.17941952506596)","(0.4996895855967716, 0.6759894459102902)","(121.09709623296969, 66.67535035261521)","(0.03861514548245207, 0.054428857430706294)"
291,"{'top_left': 51, 'top_right': 50, 'bottom_left': 93, 'bottom_right': 97}","{'top_left': 0.10714285714285714, 'top_right': 0.10504201680672269, 'bottom_left': 0.1953781512605042, 'bottom_right': 0.20378151260504201}","(16.742268041237114, 32.8213058419244)","(0.49241964827167983, 0.5967510153077163)","(92.24985533945042, 57.0916498388068)","(0.029416407952630872, 0.046605428439842285)"
386,"{'top_left': 52, 'top_right': 84, 'bottom_left': 146, 'bottom_right': 104}","{'top_left': 0.11607142857142858, 'top_right': 0.1875, 'bottom_left': 0.32589285714285715, 'bottom_right': 0.23214285714285715}","(15.17098445595855, 37.32383419689119)","(0.4893865953535016, 0.6786151672162035)","(187.80963918494456, 57.84641198421434)","(0.05988827780132161, 0.05649063670333432)"
